dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,catch_rate
207,Gligar,2,Ground,Flying,FlyScorpion Pokémon,1.10,64.80,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,60
208,Steelix,2,Steel,Ground,Iron Snake Pokémon,9.20,400.00,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,25
209,Snubbull,2,Fairy,,Fairy Pokémon,0.60,7.80,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,190
210,Granbull,2,Fairy,,Fairy Pokémon,1.40,48.70,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,75
211,Qwilfish,2,Water,Poison,Balloon Pokémon,0.50,3.90,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,45
212,Scizor,2,Bug,Steel,Pincer Pokémon,1.80,118.00,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,25
213,Shuckle,2,Bug,Rock,Mold Pokémon,0.60,20.50,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,190
214,Heracross,2,Bug,Fighting,Single Horn Pokémon,1.50,54.00,Swarm,Guts,Moxie,80,125,75,40,95,85,500,45
215,Sneasel,2,Dark,Ice,Sharp Claw Pokémon,0.90,28.00,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,60
216,Teddiursa,2,Normal,,Little Bear Pokémon,0.60,8.80,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,120
217,Ursaring,2,Normal,,Hibernator Pokémon,1.80,125.80,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,60
218,Slugma,2,Fire,,Lava Pokémon,0.70,35.00,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,190
219,Magcargo,2,Fire,Rock,Lava Pokémon,0.80,55.00,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,75
220,Swinub,2,Ice,Ground,Pig Pokémon,0.40,6.50,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,225
221,Piloswine,2,Ice,Ground,Swine Pokémon,1.10,55.80,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,75
222,Corsola,2,Water,Rock,Coral Pokémon,0.60,5.00,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,60
223,Remoraid,2,Water,,Jet Pokémon,0.60,12.00,Hustle,Sniper,Moody,35,65,35,65,35,65,300,190
224,Octillery,2,Water,,Jet Pokémon,0.90,28.50,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,75
225,Delibird,2,Ice,Flying,Delivery Pokémon,0.90,16.00,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,45
226,Mantine,2,Water,Flying,Kite Pokémon,2.10,220.00,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,25
227,Skarmory,2,Steel,Flying,Armor Bird Pokémon,1.70,50.50,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,25
228,Houndour,2,Dark,Fire,Dark Pokémon,0.60,10.80,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,120
229,Houndoom,2,Dark,Fire,Dark Pokémon,1.40,35.00,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,45
230,Kingdra,2,Water,Dragon,Dragon Pokémon,1.80,152.00,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,45
231,Phanpy,2,Ground,,Long Nose Pokémon,0.50,33.50,Pickup,Sand Veil,,90,60,60,40,40,40,330,120
232,Donphan,2,Ground,,Armor Pokémon,1.10,120.00,Sturdy,Sand Veil,,90,120,120,60,60,50,500,60
233,Porygon2,2,Normal,,Virtual Pokémon,0.60,32.50,Trace,Download,Analytic,85,80,90,105,95,60,515,45
234,Stantler,2,Normal,,Big Horn Pokémon,1.40,71.20,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,45
235,Smeargle,2,Normal,,Painter Pokémon,1.20,58.00,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,45
236,Tyrogue,2,Fighting,,Scuffle Pokémon,0.70,21.00,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,75
237,Hitmontop,2,Fighting,,Handstand Pokémon,1.40,48.00,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,45
238,Smoochum,2,Ice,Psychic,Kiss Pokémon,0.40,6.00,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,45
239,Elekid,2,Electric,,Electric Pokémon,0.60,23.50,Static,Vital Spirit,,45,63,37,65,55,95,360,45
240,Magby,2,Fire,,Live Coal Pokémon,0.70,21.40,Flame Body,Vital Spirit,,45,75,37,70,55,83,365,45
241,Miltank,2,Normal,,Milk Cow Pokémon,1.20,75.50,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,45
242,Blissey,2,Normal,,Happiness Pokémon,1.50,46.80,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,30
243,Raikou,2,Electric,,Thunder Pokémon,1.90,178.00,Pressure,Inner Focus,,90,85,75,115,100,115,580,3
244,Entei,2,Fire,,Volcano Pokémon,2.10,198.00,Pressure,Inner Focus,,115,115,85,90,75,100,580,3
245,Suicune,2,Water,,Aurora Pokémon,2.00,187.00,Pressure,Inner Focus,,100,75,115,90,115,85,580,3
246,Larvitar,2,Rock,Ground,Rock Skin Pokémon,0.60,72.00,Guts,Sand Veil,,50,64,50,45,50,41,300,45
247,Pupitar,2,Rock,Ground,Hard Shell Pokémon,1.20,152.00,Shed Skin,,,70,84,70,65,70,51,410,45
248,Tyranitar,2,Rock,Dark,Armor Pokémon,2.00,202.00,Sand Stream,Unnerve,,100,134,110,95,100,61,600,45
249,Lugia,2,Psychic,Flying,Diving Pokémon,5.20,216.00,Pressure,Multiscale,,106,90,130,90,154,110,680,3
250,Ho-oh,2,Fire,Flying,Rainbow Pokémon,3.80,199.00,Pressure,Regenerator,,106,130,90,110,154,90,680,3
251,Celebi,2,Psychic,Grass,Time Travel Pokémon,0.60,5.00,Natural Cure,,,100,100,100,100,100,100,600,45
252,Treecko,3,Grass,,Wood Gecko Pokémon,0.50,5.00,Overgrow,Unburden,,40,45,35,65,55,70,310,45
253,Grovyle,3,Grass,,Wood Gecko Pokémon,0.90,21.60,Overgrow,Unburden,,50,65,45,85,65,95,405,45
254,Sceptile,3,Grass,,Forest Pokémon,1.70,52.20,Overgrow,Unburden,,70,85,65,105,85,120,530,45
255,Torchic,3,Fire,,Chick Pokémon,0.40,2.50,Blaze,Speed Boost,,45,60,40,70,50,45,310,45
256,Combusken,3,Fire,Fighting,Young Fowl Pokémon,0.90,19.50,Blaze,Speed Boost,,60,85,60,85,60,55,405,45
257,Blaziken,3,Fire,Fighting,Blaze Pokémon,1.90,52.00,Blaze,Speed Boost,,80,120,70,110,70,80,530,45
258,Mudkip,3,Water,,Mud Fish Pokémon,0.40,7.60,Torrent,Damp,,50,70,50,50,50,40,310,45
259,Marshtomp,3,Water,Ground,Mud Fish Pokémon,0.70,28.00,Torrent,Damp,,70,85,70,60,70,50,405,45
260,Swampert,3,Water,Ground,Mud Fish Pokémon,1.50,81.90,Torrent,Damp,,100,110,90,85,90,60,535,45
261,Poochyena,3,Dark,,Bite Pokémon,0.50,13.60,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,255
262,Mightyena,3,Dark,,Bite Pokémon,1.00,37.00,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,127
263,Zigzagoon,3,Normal,,TinyRaccoon Pokémon,0.40,17.50,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,255
264,Linoone,3,Normal,,Rushing Pokémon,0.50,32.50,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,90
265,Wurmple,3,Bug,,Worm Pokémon,0.30,3.60,Shield Dust,Run Away,,45,45,35,20,30,20,195,255
266,Silcoon,3,Bug,,Cocoon Pokémon,0.60,10.00,Shed Skin,,,50,35,55,25,25,15,205,120
267,Beautifly,3,Bug,Flying,Butterfly Pokémon,1.00,28.40,Swarm,Rivalry,,60,70,50,100,50,65,395,45
268,Cascoon,3,Bug,,Cocoon Pokémon,0.70,11.50,Shed Skin,,,50,35,55,25,25,15,205,120
269,Dustox,3,Bug,Poison,Poison Moth Pokémon,1.20,31.60,Shield Dust,Compound Eyes,,60,50,70,50,90,65,385,45
270,Lotad,3,Water,Grass,Water Weed Pokémon,0.50,2.60,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,255
271,Lombre,3,Water,Grass,Jolly Pokémon,1.20,32.50,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,120
272,Ludicolo,3,Water,Grass,Carefree Pokémon,1.50,55.00,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,45
273,Seedot,3,Grass,,Acorn Pokémon,0.50,4.00,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,255
274,Nuzleaf,3,Grass,Dark,Wily Pokémon,1.00,28.00,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,120
275,Shiftry,3,Grass,Dark,Wicked Pokémon,1.30,59.60,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,45
276,Taillow,3,Normal,Flying,TinySwallow Pokémon,0.30,2.30,Guts,Scrappy,,40,55,30,30,30,85,270,200
277,Swellow,3,Normal,Flying,Swallow Pokémon,0.70,19.80,Guts,Scrappy,,60,85,60,75,50,125,455,45
278,Wingull,3,Water,Flying,Seagull Pokémon,0.60,9.50,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,190
279,Pelipper,3,Water,Flying,Water Bird Pokémon,1.20,28.00,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,45
280,Ralts,3,Psychic,Fairy,Feeling Pokémon,0.40,6.60,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,235
281,Kirlia,3,Psychic,Fairy,Emotion Pokémon,0.80,20.20,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,120
282,Gardevoir,3,Psychic,Fairy,Embrace Pokémon,1.60,48.40,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,45
283,Surskit,3,Bug,Water,Pond Skater Pokémon,0.50,1.70,Swift Swim,Rain Dish,,40,30,32,50,52,65,269,200
284,Masquerain,3,Bug,Flying,Eyeball Pokémon,0.80,3.60,Intimidate,Unnerve,,70,60,62,100,82,80,454,75
285,Shroomish,3,Grass,,Mushroom Pokémon,0.40,4.50,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,255
286,Breloom,3,Grass,Fighting,Mushroom Pokémon,1.20,39.20,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,90
287,Slakoth,3,Normal,,Slacker Pokémon,0.80,24.00,Truant,,,60,60,60,35,35,30,280,255
288,Vigoroth,3,Normal,,Wild Monkey Pokémon,1.40,46.50,Vital Spirit,,,80,80,80,55,55,90,440,120
289,Slaking,3,Normal,,Lazy Pokémon,2.00,130.50,Truant,,,150,160,100,95,65,100,670,45
290,Nincada,3,Bug,Ground,Trainee Pokémon,0.50,5.50,Compound Eyes,Run Away,,31,45,90,30,30,40,266,255
291,Ninjask,3,Bug,Flying,Ninja Pokémon,0.80,12.00,Speed Boost,Infiltrator,,61,90,45,50,50,160,456,120
292,Shedinja,3,Bug,Ghost,Shed Pokémon,0.80,1.20,Wonder Guard,,,1,90,45,30,30,40,236,45
293,Whismur,3,Normal,,Whisper Pokémon,0.60,16.30,Soundproof,Rattled,,64,51,23,51,23,28,240,190
294,Loudred,3,Normal,,Big Voice Pokémon,1.00,40.50,Soundproof,Scrappy,,84,71,43,71,43,48,360,120
295,Exploud,3,Normal,,Loud Noise Pokémon,1.50,84.00,Soundproof,Scrappy,,104,91,63,91,73,68,490,45
296,Makuhita,3,Fighting,,Guts Pokémon,1.00,86.40,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,180
297,Hariyama,3,Fighting,,Arm Thrust Pokémon,2.30,253.80,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,200
298,Azurill,3,Normal,Fairy,Polka Dot Pokémon,0.20,2.00,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,150
299,Nosepass,3,Rock,,Compass Pokémon,1.00,97.00,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,255
300,Skitty,3,Normal,,Kitten Pokémon,0.60,11.00,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,255
301,Delcatty,3,Normal,,Prim Pokémon,1.10,32.60,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,60
302,Sableye,3,Dark,Ghost,Darkness Pokémon,0.50,11.00,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,45
303,Mawile,3,Steel,Fairy,Deceiver Pokémon,0.60,11.50,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,45
304,Aron,3,Steel,Rock,Iron Armor Pokémon,0.40,60.00,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,180
305,Lairon,3,Steel,Rock,Iron Armor Pokémon,0.90,120.00,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,90
306,Aggron,3,Steel,Rock,Iron Armor Pokémon,2.10,360.00,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,45
307,Meditite,3,Fighting,Psychic,Meditate Pokémon,0.60,11.20,Pure Power,Telepathy,,30,40,55,40,55,60,280,180
308,Medicham,3,Fighting,Psychic,Meditate Pokémon,1.30,31.50,Pure Power,Telepathy,,60,60,75,60,75,80,410,90
309,Electrike,3,Electric,,Lightning Pokémon,0.60,15.20,Static,Lightning Rod,Minus,40,45,40,65,40,65,295,120
310,Manectric,3,Electric,,Discharge Pokémon,1.50,40.20,Static,Lightning Rod,Minus,70,75,60,105,60,105,475,45
311,Plusle,3,Electric,,Cheering Pokémon,0.40,4.20,Plus,Lightning Rod,,60,50,40,85,75,95,405,200
312,Minun,3,Electric,,Cheering Pokémon,0.40,4.20,Minus,Volt Absorb,,60,40,50,75,85,95,405,200
313,Volbeat,3,Bug,,Firefly Pokémon,0.70,17.70,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,150
314,Illumise,3,Bug,,Firefly Pokémon,0.60,17.70,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,150
315,Roselia,3,Grass,Poison,Thorn Pokémon,0.30,2.00,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,150
316,Gulpin,3,Poison,,Stomach Pokémon,0.40,10.30,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,225
317,Swalot,3,Poison,,Poison Bag Pokémon,1.70,80.00,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,75
318,Carvanha,3,Water,Dark,Savage Pokémon,0.80,20.80,Rough Skin,Speed Boost,,45,90,20,65,20,65,305,225
319,Sharpedo,3,Water,Dark,Brutal Pokémon,1.80,88.80,Rough Skin,Speed Boost,,70,120,40,95,40,95,460,60
320,Wailmer,3,Water,,Ball Whale Pokémon,2.00,130.00,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,125
321,Wailord,3,Water,,Float Whale Pokémon,14.50,398.00,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,60
322,Numel,3,Fire,Ground,Numb Pokémon,0.70,24.00,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,255
323,Camerupt,3,Fire,Ground,Eruption Pokémon,1.90,220.00,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,150
324,Torkoal,3,Fire,,Coal Pokémon,0.50,80.40,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,90
325,Spoink,3,Psychic,,Bounce Pokémon,0.70,30.60,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,255
326,Grumpig,3,Psychic,,Manipulate Pokémon,0.90,71.50,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,60
327,Spinda,3,Normal,,Spot Panda Pokémon,1.10,5.00,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,255
328,Trapinch,3,Ground,,Ant Pit Pokémon,0.70,15.00,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,255
329,Vibrava,3,Ground,Dragon,Vibration Pokémon,1.10,15.30,Levitate,,,50,70,50,50,50,70,340,120
330,Flygon,3,Ground,Dragon,Mystic Pokémon,2.00,82.00,Levitate,,,80,100,80,80,80,100,520,45
331,Cacnea,3,Grass,,Cactus Pokémon,0.40,51.30,Sand Veil,Water Absorb,,50,85,40,85,40,35,335,190
332,Cacturne,3,Grass,Dark,Scarecrow Pokémon,1.30,77.40,Sand Veil,Water Absorb,,70,115,60,115,60,55,475,60
333,Swablu,3,Normal,Flying,Cotton Bird Pokémon,0.40,1.20,Natural Cure,Cloud Nine,,45,40,60,40,75,50,310,255
334,Altaria,3,Dragon,Flying,Humming Pokémon,1.10,20.60,Natural Cure,Cloud Nine,,75,70,90,70,105,80,490,45
335,Zangoose,3,Normal,,Cat Ferret Pokémon,1.30,40.30,Immunity,Toxic Boost,,73,115,60,60,60,90,458,90
336,Seviper,3,Poison,,Fang Snake Pokémon,2.70,52.50,Shed Skin,Infiltrator,,73,100,60,100,60,65,458,90
337,Lunatone,3,Rock,Psychic,Meteorite Pokémon,1.00,168.00,Levitate,,,90,55,65,95,85,70,460,45
338,Solrock,3,Rock,Psychic,Meteorite Pokémon,1.20,154.00,Levitate,,,90,95,85,55,65,70,460,45
339,Barboach,3,Water,Ground,Whiskers Pokémon,0.40,1.90,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,190
340,Whiscash,3,Water,Ground,Whiskers Pokémon,0.90,23.60,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,75
341,Corphish,3,Water,,Ruffian Pokémon,0.60,11.50,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308,205
342,Crawdaunt,3,Water,Dark,Rogue Pokémon,1.10,32.80,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468,155
343,Baltoy,3,Ground,Psychic,Clay Doll Pokémon,0.50,21.50,Levitate,,,40,40,55,40,70,55,300,255
344,Claydol,3,Ground,Psychic,Clay Doll Pokémon,1.50,108.00,Levitate,,,60,70,105,70,120,75,500,90
345,Lileep,3,Rock,Grass,Sea Lily Pokémon,1.00,23.80,Suction Cups,Storm Drain,,66,41,77,61,87,23,355,45
346,Cradily,3,Rock,Grass,Barnacle Pokémon,1.50,60.40,Suction Cups,Storm Drain,,86,81,97,81,107,43,495,45
347,Anorith,3,Rock,Bug,Old Shrimp Pokémon,0.70,12.50,Battle Armor,Swift Swim,,45,95,50,40,50,75,355,45
348,Armaldo,3,Rock,Bug,Plate Pokémon,1.50,68.20,Battle Armor,Swift Swim,,75,125,100,70,80,45,495,45
349,Feebas,3,Water,,Fish Pokémon,0.60,7.40,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,255
350,Milotic,3,Water,,Tender Pokémon,6.20,162.00,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,60
351,Castform,3,Normal,,Weather Pokémon,0.30,0.80,Forecast,,,70,70,70,70,70,70,420,45
352,Kecleon,3,Normal,,Color Swap Pokémon,1.00,22.00,Color Change,Protean,,60,90,70,60,120,40,440,200
353,Shuppet,3,Ghost,,Puppet Pokémon,0.60,2.30,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295,225
354,Banette,3,Ghost,,Marionette Pokémon,1.10,12.50,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455,45
355,Duskull,3,Ghost,,Requiem Pokémon,0.80,15.00,Levitate,Frisk,,20,40,90,30,90,25,295,190
356,Dusclops,3,Ghost,,Beckon Pokémon,1.60,30.60,Pressure,Frisk,,40,70,130,60,130,25,455,90
357,Tropius,3,Grass,Flying,Fruit Pokémon,2.00,100.00,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460,200
358,Chimecho,3,Psychic,,Wind Chime Pokémon,0.60,1.00,Levitate,,,75,50,80,95,90,65,455,45
359,Absol,3,Dark,,Disaster Pokémon,1.20,47.00,Pressure,Super Luck,Justified,65,130,60,75,60,75,465,30
360,Wynaut,3,Psychic,,Bright Pokémon,0.60,14.00,Shadow Tag,Telepathy,,95,23,48,23,48,23,260,125
361,Snorunt,3,Ice,,Snow Hat Pokémon,0.70,16.80,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,300,190
362,Glalie,3,Ice,,Face Pokémon,1.50,256.50,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,480,75
363,Spheal,3,Ice,Water,Clap Pokémon,0.80,39.50,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,290,255
364,Sealeo,3,Ice,Water,Ball Roll Pokémon,1.10,87.60,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,410,120
365,Walrein,3,Ice,Water,Ice Break Pokémon,1.40,150.60,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,530,45
366,Clamperl,3,Water,,Bivalve Pokémon,0.40,52.50,Shell Armor,Rattled,,35,64,85,74,55,32,345,255
367,Huntail,3,Water,,Deep Sea Pokémon,1.70,27.00,Swift Swim,Water Veil,,55,104,105,94,75,52,485,60
368,Gorebyss,3,Water,,South Sea Pokémon,1.80,22.60,Swift Swim,Hydration,,55,84,105,114,75,52,485,60
369,Relicanth,3,Water,Rock,Longevity Pokémon,1.00,23.40,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485,25
370,Luvdisc,3,Water,,Rendezvous Pokémon,0.60,8.70,Swift Swim,Hydration,,43,30,55,40,65,97,330,225
371,Bagon,3,Dragon,,Rock Head Pokémon,0.60,42.10,Rock Head,Sheer Force,,45,75,60,40,30,50,300,45
372,Shelgon,3,Dragon,,Endurance Pokémon,1.10,110.50,Rock Head,Overcoat,,65,95,100,60,50,50,420,45
373,Salamence,3,Dragon,Flying,Dragon Pokémon,1.50,102.60,Intimidate,Moxie,,95,135,80,110,80,100,600,45
374,Beldum,3,Steel,Psychic,Iron Ball Pokémon,0.60,95.20,Clear Body,Light Metal,,40,55,80,35,60,30,300,3
375,Metang,3,Steel,Psychic,Iron Claw Pokémon,1.20,202.50,Clear Body,Light Metal,,60,75,100,55,80,50,420,3
376,Metagross,3,Steel,Psychic,Iron Leg Pokémon,1.60,550.00,Clear Body,Light Metal,,80,135,130,95,90,70,600,3
377,Regirock,3,Rock,,Rock Peak Pokémon,1.70,230.00,Clear Body,Sturdy,,80,100,200,50,100,50,580,3
378,Regice,3,Ice,,Iceberg Pokémon,1.80,175.00,Clear Body,Ice Body,,80,50,100,100,200,50,580,3
379,Registeel,3,Steel,,Iron Pokémon,1.90,205.00,Clear Body,Light Metal,,80,75,150,75,150,50,580,3
380,Latias,3,Dragon,Psychic,Eon Pokémon,1.40,40.00,Levitate,,,80,80,90,110,130,110,600,3
381,Latios,3,Dragon,Psychic,Eon Pokémon,2.00,60.00,Levitate,,,80,90,80,130,110,110,600,3
382,Kyogre,3,Water,,Sea Basin Pokémon,4.50,352.00,Drizzle,,,100,100,90,150,140,90,670,3
383,Groudon,3,Ground,,Continent Pokémon,3.50,950.00,Drought,,,100,150,140,100,90,90,670,3
384,Rayquaza,3,Dragon,Flying,Sky High Pokémon,7.00,206.50,Air Lock,,,105,150,90,150,90,95,680,45
385,Jirachi,3,Steel,Psychic,Wish Pokémon,0.30,1.10,Serene Grace,,,100,100,100,100,100,100,600,3
386,Deoxys,3,Psychic,,DNA Pokémon,1.70,60.80,Pressure,,,50,150,50,150,50,150,600,3
387,Turtwig,4,Grass,,Tiny Leaf Pokémon,0.40,10.20,Overgrow,Shell Armor,,55,68,64,45,55,31,318,45
388,Grotle,4,Grass,,Grove Pokémon,1.10,97.00,Overgrow,Shell Armor,,75,89,85,55,65,36,405,45
389,Torterra,4,Grass,Ground,Continent Pokémon,2.20,310.00,Overgrow,Shell Armor,,95,109,105,75,85,56,525,45
390,Chimchar,4,Fire,,Chimp Pokémon,0.50,6.20,Blaze,Iron Fist,,44,58,44,58,44,61,309,45
391,Monferno,4,Fire,Fighting,Playful Pokémon,0.90,22.00,Blaze,Iron Fist,,64,78,52,78,52,81,405,45
392,Infernape,4,Fire,Fighting,Flame Pokémon,1.20,55.00,Blaze,Iron Fist,,76,104,71,104,71,108,534,45
393,Piplup,4,Water,,Penguin Pokémon,0.40,5.20,Torrent,Defiant,,53,51,53,61,56,40,314,45
394,Prinplup,4,Water,,Penguin Pokémon,0.80,23.00,Torrent,Defiant,,64,66,68,81,76,50,405,45
395,Empoleon,4,Water,Steel,Emperor Pokémon,1.70,84.50,Torrent,Defiant,,84,86,88,111,101,60,530,45
396,Starly,4,Normal,Flying,Starling Pokémon,0.30,2.00,Keen Eye,Reckless,,40,55,30,30,30,60,245,255
397,Staravia,4,Normal,Flying,Starling Pokémon,0.60,15.50,Intimidate,Reckless,,55,75,50,40,40,80,340,120
398,Staraptor,4,Normal,Flying,Predator Pokémon,1.20,24.90,Intimidate,Reckless,,85,120,70,50,60,100,485,45
399,Bidoof,4,Normal,,Plump Mouse Pokémon,0.50,20.00,Simple,Unaware,Moody,59,45,40,35,40,31,250,255
400,Bibarel,4,Normal,Water,Beaver Pokémon,1.00,31.50,Simple,Unaware,Moody,79,85,60,55,60,71,410,127
401,Kricketot,4,Bug,,Cricket Pokémon,0.30,2.20,Shed Skin,Run Away,,37,25,41,25,41,25,194,255
402,Kricketune,4,Bug,,Cricket Pokémon,1.00,25.50,Swarm,Technician,,77,85,51,55,51,65,384,45
403,Shinx,4,Electric,,Flash Pokémon,0.50,9.50,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263,235
404,Luxio,4,Electric,,Spark Pokémon,0.90,30.50,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363,120
405,Luxray,4,Electric,,Gleam Eyes Pokémon,1.40,42.00,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523,45
406,Budew,4,Grass,Poison,Bud Pokémon,0.20,1.20,Natural Cure,Poison Point,Leaf Guard,40,30,35,50,70,55,280,255
407,Roserade,4,Grass,Poison,Bouquet Pokémon,0.90,14.50,Natural Cure,Poison Point,Technician,60,70,65,125,105,90,515,75
408,Cranidos,4,Rock,,Head Butt Pokémon,0.90,31.50,Mold Breaker,Sheer Force,,67,125,40,30,30,58,350,45
409,Rampardos,4,Rock,,Head Butt Pokémon,1.60,102.50,Mold Breaker,Sheer Force,,97,165,60,65,50,58,495,45
410,Shieldon,4,Rock,Steel,Shield Pokémon,0.50,57.00,Sturdy,Soundproof,,30,42,118,42,88,30,350,45
411,Bastiodon,4,Rock,Steel,Shield Pokémon,1.30,149.50,Sturdy,Soundproof,,60,52,168,47,138,30,495,45
412,Burmy,4,Bug,,Bagworm Pokémon,0.20,3.40,Shed Skin,Overcoat,,40,29,45,29,45,36,224,120
413,Wormadam,4,Bug,Grass,Bagworm Pokémon,0.50,6.50,Anticipation,Overcoat,,60,59,85,79,105,36,424,45
414,Mothim,4,Bug,Flying,Moth Pokémon,0.90,23.30,Swarm,Tinted Lens,,70,94,50,94,50,66,424,45
415,Combee,4,Bug,Flying,Tiny Bee Pokémon,0.30,5.50,Honey Gather,Hustle,,30,30,42,30,42,70,244,120
416,Vespiquen,4,Bug,Flying,Beehive Pokémon,1.20,38.50,Pressure,Unnerve,,70,80,102,80,102,40,474,45
417,Pachirisu,4,Electric,,EleSquirrel Pokémon,0.40,3.90,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,405,200
418,Buizel,4,Water,,Sea Weasel Pokémon,0.70,29.50,Swift Swim,Water Veil,,55,65,35,60,30,85,330,190
